location,offense,model_name,model_type,params,mape,mae,rmse,training_months,optimization_method
CA,motor-vehicle-theft,"ARIMA(1, 0, 0)",ARIMA,"{'order': (1, 0, 0)}",10.82,1267.98,1333.86,52,auto_arima (stepwise AIC)
CA,motor-vehicle-theft,"SARIMA(1, 0, 0)(0, 0, 1, 12)",SARIMA,"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 1, 12)}",7.3,871.74,1218.16,52,auto_arima (stepwise AIC)
CA,motor-vehicle-theft,"Prophet(no-season, cp=0.01, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.01, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': False}",41.08,4850.86,4919.69,52,grid search (32 combinations)
TX,violent-crime,"ARIMA(2, 0, 0)",ARIMA,"{'order': (2, 0, 0)}",3.55,384.57,471.15,52,auto_arima (stepwise AIC)
TX,violent-crime,"SARIMA(1, 0, 0)(1, 0, 2, 12)",SARIMA,"{'order': (1, 0, 0), 'seasonal_order': (1, 0, 2, 12)}",3.16,344.64,391.52,52,auto_arima (stepwise AIC)
TX,violent-crime,"Prophet(yearly, cp=0.001, sp=0.1)",Prophet,"{'changepoint_prior_scale': 0.001, 'seasonality_prior_scale': 0.1, 'yearly_seasonality': True}",2.11,227.7,297.35,52,grid search (32 combinations)
TX,property-crime,"ARIMA(1, 0, 0)",ARIMA,"{'order': (1, 0, 0)}",3.6,1908.84,2228.53,52,auto_arima (stepwise AIC)
TX,property-crime,"SARIMA(1, 0, 1)(0, 0, 2, 12)",SARIMA,"{'order': (1, 0, 1), 'seasonal_order': (0, 0, 2, 12)}",6.42,3425.07,3724.41,52,auto_arima (stepwise AIC)
TX,property-crime,"Prophet(no-season, cp=0.5, sp=0.01)",Prophet,"{'changepoint_prior_scale': 0.5, 'seasonality_prior_scale': 0.01, 'yearly_seasonality': False}",2.17,1147.14,1487.97,52,grid search (32 combinations)
TX,homicide,"ARIMA(1, 0, 0)",ARIMA,"{'order': (1, 0, 0)}",13.22,18.6,20.28,52,auto_arima (stepwise AIC)
TX,homicide,"SARIMA(1, 0, 0)(0, 0, 0, 12)",SARIMA,"{'order': (1, 0, 0), 'seasonal_order': (0, 0, 0, 12)}",13.22,18.6,20.28,52,auto_arima (stepwise AIC)
