location,offense,model_name,model_type,mape,mae,rmse,training_months
TX,violent-crime,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,4.01,438.25,489.41,52
TX,violent-crime,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,3.23,353.56,403.19,52
TX,violent-crime,Prophet,Prophet,2.99,317.68,342.39,52
TX,violent-crime,Prophet-no-season,Prophet,4.99,551.45,660.17,52
TX,property-crime,"ARIMA(1,1,1)",ARIMA,2.14,1137.61,1438.46,52
TX,property-crime,"ARIMA(2,1,2)",ARIMA,2.13,1136.18,1436.79,52
TX,property-crime,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,1.2737890002602506e+16,6.780841092014181e+18,8.540087168531603e+18,52
TX,property-crime,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,170139029.65,90599156486.76,108738889729.6,52
TX,property-crime,Prophet,Prophet,7.09,3791.02,4054.5,52
TX,property-crime,Prophet-no-season,Prophet,7.21,3845.88,4114.74,52
TX,homicide,"ARIMA(1,1,1)",ARIMA,7.25,10.69,12.52,52
TX,homicide,"ARIMA(2,1,2)",ARIMA,6.94,10.31,11.87,52
TX,homicide,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,11.06,15.29,23.34,52
TX,homicide,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,10.83,15.87,18.08,52
TX,homicide,Prophet,Prophet,11.54,16.0,21.68,52
TX,homicide,Prophet-no-season,Prophet,8.22,11.46,13.49,52
TX,burglary,"ARIMA(1,1,1)",ARIMA,4.67,367.13,498.41,52
TX,burglary,"ARIMA(2,1,2)",ARIMA,5.32,403.68,462.08,52
TX,burglary,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,4.55,339.11,373.93,52
TX,burglary,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,2.83,212.8,244.35,52
TX,burglary,Prophet,Prophet,6.0,467.04,564.84,52
TX,burglary,Prophet-no-season,Prophet,3.73,289.63,392.53,52
TX,motor-vehicle-theft,"ARIMA(1,1,1)",ARIMA,7.31,583.24,770.44,52
TX,motor-vehicle-theft,"ARIMA(2,1,2)",ARIMA,6.16,498.73,632.48,52
TX,motor-vehicle-theft,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,431.69,35169.52,40375.03,52
TX,motor-vehicle-theft,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,1589.49,129425.58,149117.86,52
TX,motor-vehicle-theft,Prophet,Prophet,39.55,3296.48,3373.77,52
TX,motor-vehicle-theft,Prophet-no-season,Prophet,28.09,2324.33,2429.71,52
FL,violent-crime,"ARIMA(1,1,1)",ARIMA,31.89,1043.46,1055.21,52
FL,violent-crime,"ARIMA(2,1,2)",ARIMA,33.13,1084.27,1096.34,52
FL,violent-crime,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,5.12,167.42,217.83,52
FL,violent-crime,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,24.94,828.5,841.68,52
FL,violent-crime,Prophet,Prophet,61.26,1957.73,2662.88,52
FL,violent-crime,Prophet-no-season,Prophet,51.54,1689.1,1701.15,52
FL,property-crime,"ARIMA(1,1,1)",ARIMA,26.43,4189.29,4245.25,52
FL,property-crime,"ARIMA(2,1,2)",ARIMA,26.59,4158.56,5461.14,52
FL,property-crime,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,40.61,6422.05,6597.87,52
FL,property-crime,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,18.57,3004.61,3160.15,52
FL,property-crime,Prophet,Prophet,55.98,8598.12,12248.35,52
FL,property-crime,Prophet-no-season,Prophet,46.98,7461.1,7518.4,52
FL,homicide,"ARIMA(1,1,1)",ARIMA,66.3,25.1,26.93,52
FL,homicide,"ARIMA(2,1,2)",ARIMA,67.18,25.05,30.59,52
FL,homicide,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,208.12,81.87,86.89,52
FL,homicide,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,32.06,13.17,14.38,52
FL,homicide,Prophet,Prophet,68.69,24.43,32.09,52
FL,homicide,Prophet-no-season,Prophet,87.73,33.81,35.37,52
FL,burglary,"ARIMA(1,1,1)",ARIMA,35.99,627.56,636.24,52
FL,burglary,"ARIMA(2,1,2)",ARIMA,35.99,627.54,636.22,52
FL,burglary,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,13.63,243.79,289.39,52
FL,burglary,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,21.36,379.64,411.32,52
FL,burglary,Prophet,Prophet,71.51,1272.2,1868.65,52
FL,burglary,Prophet-no-season,Prophet,42.25,737.74,745.44,52
FL,motor-vehicle-theft,"ARIMA(1,1,1)",ARIMA,54.09,592.38,659.92,52
FL,motor-vehicle-theft,"ARIMA(2,1,2)",ARIMA,54.09,592.37,659.92,52
FL,motor-vehicle-theft,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,32.38,373.34,394.83,52
FL,motor-vehicle-theft,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,29.75,351.19,365.11,52
FL,motor-vehicle-theft,Prophet,Prophet,65.69,754.96,1039.58,52
FL,motor-vehicle-theft,Prophet-no-season,Prophet,81.54,918.82,969.31,52
NY,violent-crime,"ARIMA(1,1,1)",ARIMA,10.01,687.9,741.08,52
NY,violent-crime,"ARIMA(2,1,2)",ARIMA,13.28,908.55,950.04,52
NY,violent-crime,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,4.58,303.75,367.6,52
NY,violent-crime,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,2.21,146.75,184.37,52
NY,violent-crime,Prophet,Prophet,7.76,516.51,570.95,52
NY,violent-crime,Prophet-no-season,Prophet,5.06,339.12,365.46,52
NY,property-crime,"ARIMA(1,1,1)",ARIMA,10.29,3021.99,3235.74,52
NY,property-crime,"ARIMA(2,1,2)",ARIMA,12.19,3574.19,3786.03,52
NY,property-crime,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,2.78,783.11,1014.92,52
NY,property-crime,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,5.3,1533.6,1704.72,52
NY,property-crime,Prophet,Prophet,13.05,3749.53,3809.83,52
NY,property-crime,Prophet-no-season,Prophet,8.48,2422.05,2589.53,52
NY,homicide,"ARIMA(1,1,1)",ARIMA,21.68,12.69,14.98,52
NY,homicide,"ARIMA(2,1,2)",ARIMA,15.77,9.46,12.4,52
NY,homicide,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,18.22,9.45,13.33,52
NY,homicide,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,21.44,11.77,15.03,52
NY,homicide,Prophet,Prophet,20.62,11.0,11.13,52
NY,homicide,Prophet-no-season,Prophet,9.39,5.88,9.26,52
NY,burglary,"ARIMA(1,1,1)",ARIMA,11.49,280.8,320.3,52
NY,burglary,"ARIMA(2,1,2)",ARIMA,11.21,274.29,314.35,52
NY,burglary,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,4.08,100.69,134.74,52
NY,burglary,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,4.18,103.38,139.06,52
NY,burglary,Prophet,Prophet,11.23,252.5,345.3,52
NY,burglary,Prophet-no-season,Prophet,6.95,161.5,168.69,52
NY,motor-vehicle-theft,"ARIMA(1,1,1)",ARIMA,11.19,319.15,399.22,52
NY,motor-vehicle-theft,"ARIMA(2,1,2)",ARIMA,12.84,363.07,437.81,52
NY,motor-vehicle-theft,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,12.21,321.81,346.47,52
NY,motor-vehicle-theft,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,13.3,349.96,376.25,52
NY,motor-vehicle-theft,Prophet,Prophet,26.09,686.1,703.88,52
NY,motor-vehicle-theft,Prophet-no-season,Prophet,19.8,510.52,566.64,52
IL,violent-crime,"ARIMA(1,1,1)",ARIMA,8.54,280.44,320.27,52
IL,violent-crime,"ARIMA(2,1,2)",ARIMA,8.91,292.86,334.11,52
IL,violent-crime,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,7.22,218.02,281.72,52
IL,violent-crime,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,9.48,286.74,365.02,52
IL,violent-crime,Prophet,Prophet,12.43,404.99,502.78,52
IL,violent-crime,Prophet-no-season,Prophet,20.13,650.67,675.48,52
IL,property-crime,"ARIMA(1,1,1)",ARIMA,14.26,2734.44,2784.53,52
IL,property-crime,"ARIMA(2,1,2)",ARIMA,15.56,2985.64,3058.71,52
IL,property-crime,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,4.73,898.64,1024.05,52
IL,property-crime,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,2.37,455.12,557.85,52
IL,property-crime,Prophet,Prophet,8.21,1563.24,1902.31,52
IL,property-crime,Prophet-no-season,Prophet,10.88,2088.41,2153.15,52
IL,homicide,"ARIMA(1,1,1)",ARIMA,41.71,29.62,30.44,52
IL,homicide,"ARIMA(2,1,2)",ARIMA,20.78,15.4,18.5,52
IL,homicide,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,3.1948589298258338e+19,2.0401858408707924e+19,3.2461306194839376e+19,52
IL,homicide,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,7.066385905493795e+19,4.512256922043681e+19,7.1844995938822726e+19,52
IL,homicide,Prophet,Prophet,18.73,12.9,16.6,52
IL,homicide,Prophet-no-season,Prophet,13.28,9.82,11.57,52
IL,burglary,"ARIMA(1,1,1)",ARIMA,15.99,519.48,529.45,52
IL,burglary,"ARIMA(2,1,2)",ARIMA,14.23,463.09,478.35,52
IL,burglary,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,8.41,274.57,301.46,52
IL,burglary,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,11.42,364.76,436.11,52
IL,burglary,Prophet,Prophet,28.4,918.93,957.26,52
IL,burglary,Prophet-no-season,Prophet,31.0,1004.49,1009.91,52
IL,motor-vehicle-theft,"ARIMA(1,1,1)",ARIMA,8.65,282.62,317.88,52
IL,motor-vehicle-theft,"ARIMA(2,1,2)",ARIMA,7.67,251.21,289.92,52
IL,motor-vehicle-theft,"SARIMA(1,1,1)(1,1,1,12)",SARIMA,18.1,566.34,678.77,52
IL,motor-vehicle-theft,"SARIMA(1,1,1)(0,1,1,12)",SARIMA,6.71,207.8,276.99,52
IL,motor-vehicle-theft,Prophet,Prophet,26.21,819.75,946.01,52
IL,motor-vehicle-theft,Prophet-no-season,Prophet,21.72,684.01,715.69,52
